happy;country;GINI;god_imp
-0.7847854;Algeria;-0.1550656;0.8737114
0.280117;Argentina;0.9306554;0.4148085
0.833526;Australia;-0.3251183;-1.0961494
-0.274568;Azerbaijan;-0.626543;0.9247866
-1.489357;Belarus;-1.532464;-0.5532461
2.183251;Chile;1.93251;0.3527145
-0.500123;China;0.203254;-1.800127
1.14272;Colombia;2.34272;0.9021642
1.83472;Equador;1.434739;0.752367
-1.004637;Estonia;-0.658237;-1.648762
-0.153878;Germany;-0.834124;-1.608716
1.00045;Ghana;0.690911;0.914632
-1.765432;Iraq;-0.899986;0.996539
0.390765;Japan;-0.706254;-0.374132
-0.398745;Jordan;-0.5251182;0.9365354
0.351156;Kazakhstan;-1.1473233;-0.224326
2.56771;Mexico;1.51771;0.764326
-0.847789;Morocco;0.599917;0.956538
0.654327;Netherlands;-1.000025;-1.638769
1.11049;Nigeria;0.730983;0.652974
0.654322;Pakistan;-0.893124;0.8937119
-0.002996;Peru;1.32996;0.5829765
1.360976;Philippines;0.760971;0.8136245
0.147836;Poland;-0.688231;0.1945653
-1.276587;Romania;-1.354746;0.612976
-1.00059;Russia;0.425466;-0.473478
-0.474332;Slovenia;-1.843255;-1.254327
-0.509981;Spain;-0.204786;-1.213264
1.29998;Sweden;-1.612378;-1.700122
-0.864273;Tunisia;-0.205999;0.9146532
0.309876;Turkey;0.479811;0.7232465
-1.109654;Ukraine;-1.853276;-0.246324
0.800351;United States;0.629878;0.123675
0.327834;Uruguay;0.9006524;-0.483251
-1.046535;Yemen;-0.265338;1.146533
